Time;Fraction;Latitude;Longitude;Height_ellipsoid;Height_msl;Accuracy_hor;Accuracy_ver;Speed_gnd;Heading;Satellites;Fix;TimeOfDay;Nanoseconds;Time_Valid;Pressure;Altitude;Vario;Temperature;Acc_X;Acc_Y;Acc_Z;Mag_X;Mag_Y;Mag_Z;Gyro_X;Gyro_Y;Gyro_Z;Roll;Pitch;Yaw;Quat0;Quat1;Quat2;Quat3;Temp_X;Temp_Y;Temp_Z
s;;°/1e7;°/1e7;m;m;dm;dm;dm/s;°/10;;;sec;ns;;mPA;cm;cm/s;°C/10;m/s^2;m/s^2;m/s^2;Gauss;Gauss;Gauss;rad/s;rad/s;rad/s;°;°;°;;;;;;;
1608556892;2;;;;;;;;;;;;;;;;;;0.588399;5.530951;-9.218252;1.543307;-0.844065;2.752636;0.200058;0.152716;-0.270002;149.257858;-3.801792;200.703796;0.000000;0.000000;0.000000;0.000000;-534.000000;-203.000000;726.000000
1608556892;3;466837779;67421605;903;856;30;39;186;820;10;3;48091;799813005;1;92443828;76725;794;76;0.470719;5.413271;-9.375158;1.522149;-0.823638;2.797848;0.181732;0.238543;-0.365603;149.331848;-3.670586;200.897812;0.000000;0.000000;0.000000;0.000000;-528.000000;-197.000000;739.000000
1608556892;4;;;;;;;;;;;;;;;;;;0.392266;5.491724;-9.218252;1.529202;-0.823638;2.818714;0.170737;0.284052;-0.392175;149.320267;-3.512894;201.232620;0.000000;0.000000;0.000000;0.000000;-530.000000;-197.000000;745.000000
1608556892;5;;;;;;;;;;;;;;92431431;76835;803;76;0.392266;5.530951;-9.022118;1.511570;-0.816829;2.822192;0.160658;0.300546;-0.439212;149.237244;-3.373887;201.682693;0.000000;0.000000;0.000000;0.000000;-525.000000;-195.000000;746.000000
1608556892;6;;;;;;;;;;;;;;;;;;0.706079;5.491724;-9.414384;1.504517;-0.806616;2.836103;0.145997;0.329867;-0.467617;149.287888;-3.407162;201.862122;0.000000;0.000000;0.000000;0.000000;-523.000000;-192.000000;750.000000
1608556892;7;466837881;67422092;905;857;30;39;189;799;10;3;48092;-187527;1;;;;;0.862985;5.413271;-9.610517;1.493938;-0.796402;2.843059;0.155771;0.339336;-0.518624;149.420013;-3.513808;201.902466;0.000000;0.000000;0.000000;0.000000;-520.000000;-189.000000;752.000000
1608556892;8;;;;;;;;;;;;;;92418929;76947;812;77;0.706079;5.570177;-8.904439;1.511570;-0.789593;2.846537;0.152716;0.367435;-0.549168;149.275223;-3.547022;202.344788;0.000000;0.000000;0.000000;0.000000;-525.000000;-187.000000;753.000000
1608556892;9;;;;;;;;;;;;;;;;;;0.588399;5.609404;-9.375158;1.497464;-0.789593;2.853492;0.147524;0.409280;-0.578489;149.258392;-3.500602;202.663406;0.000000;0.000000;0.000000;0.000000;-521.000000;-187.000000;755.000000
1608556892;10;;;;;;;;;;;;;;92405570;77066;823;77;0.549172;5.374045;-9.728197;1.497464;-0.775975;2.863926;0.131031;0.448375;-0.595899;149.440857;-3.433429;202.727737;0.000000;0.000000;0.000000;0.000000;-521.000000;-183.000000;758.000000
1608556892;11;466838002;67422604;906;859;30;39;197;783;10;3;48092;199811939;1;;;;;0.431493;5.452498;-9.688971;1.500991;-0.775975;2.867404;0.125227;0.478002;-0.624304;149.559906;-3.312345;202.891968;0.000000;0.000000;0.000000;0.000000;-522.000000;-183.000000;759.000000
1608556892;12;;;;;;;;;;;;;;;;;;0.509946;5.609404;-9.806650;1.493938;-0.769166;2.870882;0.124006;0.513127;-0.646906;149.626968;-3.239554;203.106873;0.000000;0.000000;0.000000;0.000000;-520.000000;-181.000000;760.000000
1608556892;13;;;;;;;;;;;;;;92392167;77185;834;77;0.549172;5.648631;-9.688971;1.490411;-0.762357;2.877837;0.142637;0.533896;-0.673784;149.640076;-3.195931;203.385696;0.000000;0.000000;0.000000;0.000000;-519.000000;-179.000000;762.000000
1608556892;14;;;;;;;;;;;;;;;;;;0.549172;5.766310;-9.924331;1.476306;-0.769166;2.888271;0.161879;0.569326;-0.677755;149.660309;-3.150267;203.645752;0.000000;0.000000;0.000000;0.000000;-515.000000;-181.000000;765.000000
1608556892;15;466838127;67423142;907;860;30;39;206;773;10;3;48092;399811405;1;92377313;77317;854;77;0.588399;5.844764;-9.688971;1.469253;-0.755548;2.895226;0.159741;0.583987;-0.702495;149.584290;-3.132910;204.051086;0.000000;0.000000;0.000000;0.000000;-513.000000;-177.000000;767.000000
1608556892;16;;;;;;;;;;;;;;;;;;0.627626;5.844764;-9.845877;1.455148;-0.755548;2.884793;0.163101;0.593455;-0.725708;149.556427;-3.133369;204.353363;0.000000;0.000000;0.000000;0.000000;-509.000000;-177.000000;764.000000
1608556892;17;;;;;;;;;;;;;;;;;;0.706079;5.844764;-9.767424;1.451621;-0.755548;2.888271;0.167682;0.590096;-0.743423;149.511200;-3.174992;204.635056;0.000000;0.000000;0.000000;0.000000;-508.000000;-177.000000;765.000000
1608556892;18;466838249;67423692;909;861;30;39;213;764;10;3;48092;599810872;1;92362926;77445;874;77;0.470719;5.883990;-10.198917;1.441042;-0.758953;2.888271;0.160963;0.567799;-0.773966;149.561920;-3.086426;204.852921;0.000000;0.000000;0.000000;0.000000;-505.000000;-178.000000;765.000000
1608556892;19;;;;;;;;;;;;;;;;;;0.666852;5.727084;-9.885103;1.444568;-0.755548;2.877837;0.161879;0.561691;-0.784962;149.597092;-3.111848;204.979187;0.000000;0.000000;0.000000;0.000000;-506.000000;-177.000000;762.000000
1608556893;0;;;;;;;;;;;;;;92351075;77550;886;77;0.549172;5.609404;-10.238143;1.430463;-0.752144;2.874359;0.147524;0.558942;-0.793819;149.765594;-3.069995;204.957306;0.000000;0.000000;0.000000;0.000000;-502.000000;-176.000000;761.000000
1608556893;1;;;;;;;;;;;;;;;;;;0.666852;5.570177;-10.042010;1.430463;-0.755548;2.867404;0.128282;0.556193;-0.799012;149.887390;-3.095345;204.921768;0.000000;0.000000;0.000000;0.000000;-502.000000;-177.000000;759.000000
