Time;Fraction;Latitude;Longitude;Height_ellipsoid;Height_msl;Accuracy_hor;Accuracy_ver;Speed_gnd;Heading;Satellites;Fix;TimeOfDay;Nanoseconds;Time_Valid;Pressure;Altitude;Vario;Temperature;Acc_X;Acc_Y;Acc_Z;Mag_X;Mag_Y;Mag_Z;Gyro_X;Gyro_Y;Gyro_Z;Roll;Pitch;Yaw;Quat0;Quat1;Quat2;Quat3;Temp_X;Temp_Y;Temp_Z
s;;°/1e7;°/1e7;m;m;dm;dm;dm/s;°/10;;;sec;ns;;mPA;cm;cm/s;°C/10;m/s^2;m/s^2;m/s^2;Gauss;Gauss;Gauss;rad/s;rad/s;rad/s;°;°;°;;;;;;;
1608557719;2;;;;;;;;;;;;;;;;;;0.117680;5.452498;-9.532064;1.282355;-1.334313;1.538878;-0.072082;-0.393092;0.707382;150.273270;-0.675425;164.731674;0.000000;0.000000;0.000000;0.000000;-460.000000;-347.000000;377.000000
1608557719;3;466839504;67418165;907;860;25;35;97;597;10;3;48918;799640980;1;92581989;75496;575;77;0.117680;5.727084;-9.453611;1.254143;-1.330909;1.556267;0.005192;-0.418137;0.759000;150.125168;-0.668882;164.799850;0.000000;0.000000;0.000000;0.000000;-452.000000;-346.000000;382.000000
1608557719;4;;;;;;;;;;;;;;;;;;0.000000;5.805537;-9.532064;1.250617;-1.324100;1.577134;0.000611;-0.375377;0.781602;149.978302;-0.601994;164.925583;0.000000;0.000000;0.000000;0.000000;-451.000000;-344.000000;388.000000
1608557719;5;;;;;;;;;;;;;;92570553;75597;600;77;0.000000;5.099458;-9.924331;1.222406;-1.320695;1.573657;0.003054;-0.355218;0.808175;150.260925;-0.541794;164.389420;0.000000;0.000000;0.000000;0.000000;-443.000000;-343.000000;387.000000
1608557719;6;;;;;;;;;;;;;;;;;;0.156906;5.374045;-9.179025;1.215353;-1.303673;1.594524;0.006109;-0.368046;0.815199;150.200073;-0.572130;164.511826;0.000000;0.000000;0.000000;0.000000;-441.000000;-338.000000;393.000000
1608557719;7;466839602;67418390;908;861;25;35;104;591;10;3;48919;-359547;1;;;;;0.313813;5.570177;-9.335931;1.225932;-1.303673;1.598001;-0.007330;-0.416305;0.811534;150.097885;-0.680261;164.742554;0.000000;0.000000;0.000000;0.000000;-444.000000;-338.000000;394.000000
1608557719;8;;;;;;;;;;;;;;92559493;75696;623;77;0.549172;5.138685;-9.571291;1.211827;-1.296864;1.611913;-0.032681;-0.444710;0.793819;150.265045;-0.901631;164.653595;0.000000;0.000000;0.000000;0.000000;-440.000000;-336.000000;398.000000
1608557719;9;;;;;;;;;;;;;;;;;;0.392266;5.138685;-9.845877;1.218880;-1.290055;1.629302;-0.018326;-0.444099;0.804815;150.482498;-1.013750;164.507095;0.000000;0.000000;0.000000;0.000000;-442.000000;-334.000000;403.000000
1608557719;10;;;;;;;;;;;;;;92549394;75786;641;77;0.235360;5.217138;-9.335931;1.222406;-1.269628;1.636257;-0.001222;-0.443488;0.817032;150.514511;-1.038446;164.681213;0.000000;0.000000;0.000000;0.000000;-443.000000;-328.000000;405.000000
1608557719;11;466839704;67418635;910;862;25;35;110;585;10;3;48919;199639925;1;;;;;0.235360;5.217138;-9.492838;1.215353;-1.259414;1.646691;-0.026878;-0.447153;0.820697;150.583817;-1.059075;164.827896;0.000000;0.000000;0.000000;0.000000;-441.000000;-325.000000;408.000000
1608557719;12;;;;;;;;;;;;;;;;;;0.353039;5.099458;-9.571291;1.211827;-1.242392;1.671035;-0.070249;-0.489303;0.808480;150.720642;-1.139618;164.978699;0.000000;0.000000;0.000000;0.000000;-440.000000;-320.000000;415.000000
1608557719;13;;;;;;;;;;;;;;92539956;75870;652;77;0.274586;5.334818;-9.688971;1.215353;-1.245796;1.681469;-0.087048;-0.489303;0.816116;150.764847;-1.167867;165.232880;0.000000;0.000000;0.000000;0.000000;-441.000000;-321.000000;418.000000
1608557719;14;;;;;;;;;;;;;;;;;;0.235360;5.413271;-9.414384;1.204774;-1.218560;1.716247;-0.078191;-0.480445;0.828333;150.698486;-1.175236;165.796555;0.000000;0.000000;0.000000;0.000000;-438.000000;-313.000000;428.000000
1608557719;15;466839817;67418927;911;864;25;35;122;587;10;3;48919;399639398;1;92531069;75949;656;77;0.235360;5.295591;-9.218252;1.204774;-1.201538;1.740592;-0.069028;-0.476475;0.851851;150.641052;-1.184539;166.421417;0.000000;0.000000;0.000000;0.000000;-438.000000;-308.000000;435.000000
1608557719;16;;;;;;;;;;;;;;;;;;0.313813;5.295591;-9.296705;1.194195;-1.198133;1.757981;-0.054062;-0.481667;0.862847;150.610291;-1.234089;167.004059;0.000000;0.000000;0.000000;0.000000;-435.000000;-307.000000;440.000000
1608557719;17;;;;;;;;;;;;;;;;;;0.274586;5.413271;-9.335931;1.201248;-1.181111;1.782326;-0.049175;-0.490525;0.864680;150.538620;-1.256432;167.722534;0.000000;0.000000;0.000000;0.000000;-437.000000;-302.000000;447.000000
